priority,model_target,issue,true_species,confused_with,true_class,confused_risk,needed_role,min_images,region_focus,source_preference,reason
1,species_b1,venomous_species_predicted_non_venomous,Crotalus ruber,Ninia sebae,Venomous,Non Venomous,positive_venomous,60,Mexico | United States of America,open_license_iNaturalist_or_Wikimedia,External B1 priority case: Crotalus ruber can become Ninia sebae with country context; safety root issue even though integrated rule returns No concluyente.
1,species_b1,venomous_species_predicted_non_venomous,Agkistrodon contortrix,Morelia spilota | Lampropeltis triangulum,Venomous,Non Venomous,positive_venomous,60,United States of America,open_license_iNaturalist_or_Wikimedia,External B1 wrong-country priority case; true species appears in top5 on normal flow but can be pushed below non-venomous species.
1,species_b1,venomous_species_predicted_non_venomous,Naja atra,Morelia spilota | Crotalus lepidus | Ahaetulla prasina,Venomous,Non Venomous,positive_venomous,80,China | East Asia,open_license_iNaturalist_or_Wikimedia,Weak internal recall for Naja atra and external cases where the true species is absent from top5; reinforce cobra variability.
2,species_b1,non_venomous_species_predicted_venomous,Contia tenuis,Naja atra | Causus rhombeatus | Pseudechis australis,Non Venomous,Venomous,hard_negative_non_venomous,70,United States of America | North America,open_license_iNaturalist_or_Wikimedia,External B1 risk error: Contia tenuis top1 becomes Naja atra and true species is absent from top5.
2,species_b1,non_venomous_species_predicted_venomous,Corallus caninus,Tropidolaemus wagleri | Bothriechis schlegelii,Non Venomous,Venomous,hard_negative_non_venomous,70,South America,open_license_iNaturalist_or_Wikimedia,External B1 risk error: true species is top2 but top1 is venomous; reinforce green arboreal boa vs pitviper confusion.
2,species_b1,non_venomous_species_predicted_venomous,Lampropeltis alterna,Crotalus lepidus | Bitis gabonica,Non Venomous,Venomous,hard_negative_non_venomous,70,United States of America | Mexico,open_license_iNaturalist_or_Wikimedia,External B1 risk error: true species is top2 but top1 is Crotalus lepidus; reinforce kingsnake/rattlesnake hard negatives.
2,species_b1,frequent_internal_risk_change,Natrix maura,Agkistrodon piscivorus,Non Venomous,Venomous,hard_negative_non_venomous,60,Europe | North Africa,open_license_iNaturalist_or_Wikimedia,Most frequent internal cross-risk confusion in test matrix: Natrix maura -> Agkistrodon piscivorus.
2,species_b1,frequent_internal_risk_change,Eunectes murinus,Agkistrodon piscivorus,Non Venomous,Venomous,hard_negative_non_venomous,60,South America,open_license_iNaturalist_or_Wikimedia,Frequent internal cross-risk confusion and one of the smaller train classes in the pilot.
2,species_b1,frequent_internal_risk_change,Boiga irregularis,Boiga kraepelini,Venomous,Non Venomous,positive_venomous,60,Oceania | Southeast Asia,open_license_iNaturalist_or_Wikimedia,Frequent internal cross-risk confusion within Boiga group; improve species ranking without relying on risk metadata.
3,binary_preventive,non_venomous_no_conclusive_due_binary_alert,Ahaetulla nasuta | Ahaetulla prasina,binary Venomous alert,Non Venomous,Venomous,binary_hard_negative_non_venomous,80,Asia,active_dataset_plus_open_license_iNaturalist_or_Wikimedia,Repeated external B1 No concluyente: species model predicts Non Venomous but binary preventive alerts Venomous.
3,binary_preventive,non_venomous_no_conclusive_due_binary_alert,Lampropeltis pyromelana | Lampropeltis triangulum | Lampropeltis alterna,binary Venomous alert,Non Venomous,Venomous,binary_hard_negative_non_venomous,100,North America,active_dataset_plus_open_license_iNaturalist_or_Wikimedia,Repeated external B1 No concluyente and false Venomous for kingsnake group; binary model needs safer non-venomous negatives.
3,binary_preventive,non_venomous_no_conclusive_due_binary_alert,Morelia spilota | Natrix maura | Tantilla gracilis,binary Venomous alert,Non Venomous,Venomous,binary_hard_negative_non_venomous,100,Oceania | Europe | North America,active_dataset_plus_open_license_iNaturalist_or_Wikimedia,Repeated non-venomous No concluyente cases caused by binary preventive alert despite species model predicting Non Venomous.
